序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
2457,002892,科力尔,12.08,1.77,0.21,71257.0,85609535.74,1.35,12.09,11.93,11.99,11.87,0.84,1.47,148.84,6.9,8994007926.0,5839680175.0,0.0,0.0,-6.21,-9.99
2458,688225,亚信安全,20.65,1.77,0.36,42083.0,87120086.0,4.88,21.33,20.34,20.37,20.29,0.97,1.05,-18.69,4.64,8260206500.0,8260206500.0,0.0,0.0,14.66,6.44
2459,603013,亚普股份,22.98,1.77,0.4,27999.0,64455828.0,1.95,23.24,22.8,22.82,22.58,0.75,0.55,21.0,2.62,11678885581.0,11678885581.0,-0.04,0.0,4.26,-6.85
2460,603282,亚光股份,22.44,1.77,0.39,24649.0,55009801.0,1.95,22.5,22.07,22.19,22.05,0.69,3.84,22.76,2.27,3002920800.0,1440299260.0,0.0,0.0,13.1,13.1
2461,000929,*ST兰黄,10.36,1.77,0.18,20453.0,21005880.0,2.36,10.39,10.15,10.29,10.18,0.83,1.1,132.08,4.12,1924535760.0,1924413750.0,-0.1,-0.1,23.48,17.59
2462,603367,辰欣药业,17.21,1.77,0.3,55815.0,95808677.0,1.71,17.29,17.0,17.02,16.91,0.87,1.23,15.3,1.27,7791898560.0,7791898560.0,-0.23,-0.23,-5.34,-0.64
2463,600143,金发科技,18.43,1.77,0.32,511475.0,940661586.0,2.04,18.56,18.19,18.19,18.11,1.01,1.94,34.21,2.55,48559843696.0,48559843696.0,0.0,-0.05,1.43,-5.68
2464,000524,岭南控股,13.25,1.77,0.23,150483.0,199049885.17,2.38,13.35,13.04,13.09,13.02,1.2,2.25,101.59,3.9,8880263910.0,8876823362.0,-0.08,-0.08,12.57,10.51
2465,603348,文灿股份,19.66,1.76,0.34,17058.0,33459192.0,1.6,19.7,19.39,19.39,19.32,1.0,0.54,1967.01,1.43,6182621595.0,6182621595.0,-0.1,-0.1,-3.39,2.08
2466,002849,威星智能,19.65,1.76,0.34,119121.0,233383805.3,2.85,19.9,19.35,19.58,19.31,1.02,6.15,45.42,3.17,4335458414.0,3803597838.0,-0.25,0.0,37.12,23.58
2467,300022,吉峰科技,8.1,1.76,0.14,96328.0,77716592.0,1.76,8.13,7.99,8.03,7.96,0.68,1.95,-410.46,7.53,4003347078.0,4003258383.0,0.12,0.0,-1.22,3.58
2468,002584,西陇科学,8.68,1.76,0.15,118187.0,102146165.66,1.17,8.68,8.58,8.6,8.53,0.67,2.52,-61.62,2.27,5079678543.0,4065942254.0,0.0,0.0,-5.24,-5.75
2469,300666,江丰电子,154.18,1.76,2.67,125253.0,1920151273.15,2.77,154.73,150.53,153.85,151.51,0.86,5.66,85.0,8.27,40907142905.0,34098003682.0,-0.04,0.02,76.65,67.59
2470,688202,美迪西,70.72,1.76,1.22,37890.0,267259326.0,3.71,71.93,69.35,70.89,69.5,1.38,2.82,-61.29,4.83,9501386452.0,9501386452.0,0.01,0.16,34.96,25.39
2471,688552,航天南湖,39.99,1.76,0.69,49598.0,197295966.0,2.42,40.25,39.3,39.3,39.3,0.49,5.71,422.1,5.21,13486547520.0,3472233764.0,-0.05,0.08,17.65,10.1
2472,600834,申通地铁,8.69,1.76,0.15,24609.0,21259516.0,2.22,8.69,8.5,8.5,8.54,0.79,0.52,87.81,2.42,4148448754.0,4148448754.0,0.23,0.0,5.21,2.72
2473,688571,杭华股份,8.1,1.76,0.14,33738.0,27232244.0,2.51,8.12,7.92,7.99,7.96,0.67,0.8,31.67,2.05,3435782670.0,3435782670.0,0.12,-0.25,11.57,8.72
2474,600711,盛屯矿业,14.53,1.75,0.25,716717.0,1039432827.0,2.24,14.68,14.36,14.5,14.28,0.65,2.32,19.79,2.66,44906585836.0,44906585836.0,0.07,0.07,12.37,-4.16
2475,301039,中集车辆,9.29,1.75,0.16,144299.0,133540833.0,2.08,9.35,9.16,9.19,9.13,0.68,0.99,21.01,1.2,17410615862.0,13493051475.0,0.0,-0.11,-5.59,1.53
2476,300616,尚品宅配,13.37,1.75,0.23,41518.0,55274908.0,1.83,13.43,13.19,13.2,13.14,1.05,2.68,-28.33,0.95,3001778653.0,2072460196.0,0.07,0.0,-2.76,-4.02
2477,688215,瑞晟智能,68.15,1.75,1.17,5435.0,37036963.0,2.97,68.99,67.0,68.99,66.98,0.67,0.87,120.61,8.74,4254145782.0,4254145782.0,0.21,0.25,-14.89,-6.01
2478,601127,赛力斯,99.51,1.75,1.71,141776.0,1407974561.0,1.48,99.87,98.42,99.0,97.8,0.74,0.94,24.47,5.85,173344935908.0,150238426025.0,-0.01,-0.02,-21.02,-17.73
2479,603132,金徽股份,18.57,1.75,0.32,115488.0,213936492.0,2.96,18.77,18.23,18.25,18.25,0.7,1.18,39.37,5.76,18161460000.0,18161460000.0,0.22,0.22,37.76,26.58
2480,002920,德赛西威,115.91,1.75,1.99,56287.0,650205704.88,1.25,116.15,114.73,115.52,113.92,0.58,1.01,28.2,4.49,69180029707.0,64298575915.0,0.01,-0.01,6.69,-3.65
2481,300957,贝泰妮,43.54,1.75,0.75,39863.0,172474743.8,1.61,43.58,42.89,43.18,42.79,0.76,0.94,50.88,3.03,18443544000.0,18443544000.0,0.02,0.14,9.4,10.76
2482,002900,哈三联,12.18,1.75,0.21,31736.0,38518185.88,2.42,12.2,11.91,12.13,11.97,0.98,1.97,-13.84,2.02,3853198419.0,1962470832.0,0.0,0.0,-16.0,-2.25
2483,603600,永艺股份,11.02,1.75,0.19,24527.0,26898617.0,1.75,11.04,10.85,10.85,10.83,0.69,0.82,14.26,1.59,3641373533.0,3306419135.0,0.0,0.0,-13.02,-7.16
2484,605336,帅丰电器,14.52,1.75,0.25,23785.0,34427012.0,2.52,14.59,14.23,14.27,14.27,0.7,1.3,678.1,1.42,2663148774.0,2663148774.0,0.28,0.0,-2.22,-7.75
2485,600774,汉商集团,9.87,1.75,0.17,58472.0,57106035.0,2.89,9.87,9.59,9.77,9.7,0.78,1.98,234.2,1.74,2911969808.0,2910091833.0,0.0,0.1,1.23,7.99
2486,300462,ST华铭,12.8,1.75,0.22,24566.0,31221513.0,2.15,12.85,12.58,12.66,12.58,0.69,1.78,-456.12,1.62,2319640806.0,1766835738.0,0.23,0.0,16.68,8.47
2487,300500,启迪设计,12.77,1.75,0.22,33988.0,43113077.0,2.63,12.79,12.46,12.5,12.55,0.85,2.03,38.21,2.0,2221659077.0,2140225885.0,0.0,-0.08,-19.02,-7.8
2488,600196,复星医药,26.17,1.75,0.45,126244.0,329240021.0,1.52,26.23,25.84,25.85,25.72,0.81,0.6,20.77,1.46,69885135435.0,55440852550.0,-0.04,-0.19,-2.97,-1.21
2489,300868,杰美特,39.62,1.75,0.68,46319.0,181844892.0,7.16,40.89,38.1,39.44,38.94,0.88,5.74,-151.35,3.36,5069458240.0,3199849910.0,0.03,0.18,45.23,24.98
2490,600661,昂立教育,10.46,1.75,0.18,36072.0,37652944.0,1.95,10.52,10.32,10.36,10.28,0.61,1.26,48.94,22.28,2997300762.0,2997300762.0,0.0,-0.1,0.0,2.05
2491,920748,路桥信息,41.36,1.75,0.71,6791.0,27953385.68,2.02,41.48,40.66,40.85,40.65,0.32,1.9,-52.47,14.36,3173966400.0,1475147166.0,0.12,0.12,-22.04,-11.13
2492,600053,九鼎投资,17.55,1.74,0.3,29584.0,51733937.0,1.39,17.57,17.33,17.34,17.25,0.66,0.68,-114.28,2.96,7608641040.0,7608641040.0,0.11,0.11,-5.75,-11.68
2493,003011,海象新材,27.46,1.74,0.47,29227.0,79841227.41,2.67,27.61,26.89,27.11,26.99,0.72,3.74,23.4,1.99,2819482960.0,2144317514.0,0.29,-0.15,18.87,24.59
2494,605122,四方新材,14.01,1.74,0.24,15675.0,21905057.0,2.03,14.08,13.8,14.01,13.77,0.66,0.91,-50.64,1.2,2414679540.0,2414679540.0,0.14,0.14,9.8,6.54
2495,000016,深康佳Ａ,3.51,1.74,0.06,330697.0,115709152.11,1.74,3.53,3.47,3.48,3.45,0.78,2.07,-6.46,6.68,8451888382.0,5604044238.0,0.0,0.0,-32.24,-29.38
2496,300005,探路者,15.18,1.74,0.26,244822.0,371176303.37,3.02,15.31,14.86,15.06,14.92,0.84,2.77,304.54,6.4,13414599183.0,13408710861.0,-0.07,0.13,52.26,40.17
2497,002893,京能热力,11.7,1.74,0.2,57134.0,66520059.83,2.35,11.73,11.46,11.5,11.5,0.72,2.82,40.0,2.54,3084588000.0,2372509831.0,0.0,0.0,-17.02,4.56
2498,600388,龙净环保,19.84,1.74,0.34,121239.0,240436290.0,2.46,20.06,19.58,19.68,19.5,0.61,0.95,24.22,2.37,25197718453.0,25197718453.0,-0.1,0.0,26.45,21.64
2499,002985,北摩高科,40.24,1.74,0.69,82257.0,330608813.77,2.3,40.7,39.79,39.89,39.55,0.67,4.68,78.53,5.1,13353788864.0,7068992710.0,-0.05,0.0,45.96,26.82
2500,300993,玉马科技,13.44,1.74,0.23,25038.0,33539340.96,1.36,13.47,13.29,13.29,13.21,0.78,1.04,28.11,2.71,4141283328.0,3236273712.0,0.0,0.0,-10.82,-8.7
2501,600604,市北高新,5.25,1.74,0.09,68737.0,35881448.0,1.36,5.25,5.18,5.18,5.16,0.83,0.49,-39.41,1.58,9834850221.0,7389137721.0,0.0,0.19,-10.71,-5.23
2502,600259,中稀有色,93.6,1.74,1.6,164538.0,1548229441.0,4.98,96.98,92.4,93.34,92.0,0.84,4.89,185.15,9.01,31490401176.0,31490401176.0,-0.01,0.04,80.03,66.37
2503,920066,科拜尔,25.67,1.74,0.44,5619.0,14317269.73,2.77,25.72,25.02,25.3,25.23,0.61,2.83,57.03,4.02,1613444878.0,510148278.0,0.0,0.12,7.86,3.97
2504,002797,第一创业,7.62,1.74,0.13,1891307.0,1445900271.72,4.14,7.79,7.48,7.5,7.49,0.92,4.5,31.16,1.88,32022288000.0,32022288000.0,0.0,0.13,12.72,10.92
2505,603194,中力股份,36.44,1.73,0.62,12395.0,45080325.0,1.2,36.58,36.15,36.2,35.82,0.66,0.78,16.0,2.77,14612440000.0,5758500710.0,0.05,0.0,-3.16,-7.3
2506,002946,新乳业,19.96,1.73,0.34,66126.0,131607870.57,3.21,20.13,19.5,19.56,19.62,0.88,0.78,20.69,4.79,17179116852.0,16980151321.0,0.1,0.15,19.95,8.13
2507,300625,三雄极光,12.94,1.73,0.22,21455.0,27657390.0,1.73,12.95,12.73,12.73,12.72,0.64,1.32,-258.24,1.82,3614543140.0,2095914523.0,-0.08,-0.08,5.81,9.2
2508,600828,茂业商业,6.48,1.73,0.11,631603.0,404853939.0,5.02,6.57,6.25,6.42,6.37,1.26,3.65,201.7,1.6,11223246898.0,11219213973.0,-0.31,-0.15,12.31,10.96
2509,300590,移为通信,12.33,1.73,0.21,50486.0,62171823.0,1.98,12.45,12.21,12.25,12.12,0.7,1.42,69.01,3.11,5670783244.0,4369288676.0,-0.08,0.0,0.0,-2.76
2510,002802,洪汇新材,14.14,1.73,0.24,32580.0,45791079.94,2.16,14.18,13.88,13.94,13.9,0.82,2.16,62.92,4.07,2577750139.0,2131268001.0,-0.14,-0.07,9.44,13.67
2511,603176,汇通集团,5.87,1.73,0.1,50082.0,29263900.0,2.25,5.88,5.75,5.84,5.77,0.93,1.08,-70.53,2.57,2789641507.0,2710860237.0,0.0,0.0,-3.61,11.6
2512,002300,太阳电缆,11.77,1.73,0.2,2021173.0,2373047492.65,9.94,12.45,11.3,11.58,11.57,2.59,27.98,75.01,4.5,8501867649.0,8501120348.0,0.0,0.6,24.95,27.93
2513,603218,日月股份,14.66,1.73,0.25,177268.0,258588912.0,2.71,14.76,14.37,14.46,14.41,1.34,1.72,26.08,1.48,15104802725.0,15071011425.0,0.0,0.14,13.12,10.64
2514,301662,宏工科技,163.48,1.73,2.78,12684.0,209529367.8,4.42,168.98,161.88,161.88,160.7,0.85,7.63,333.45,9.07,13078400000.0,2718316341.0,0.09,0.08,29.64,35.92
2515,300732,设研院,7.65,1.73,0.13,46653.0,35596857.66,2.13,7.68,7.52,7.55,7.52,0.72,1.26,-38.73,0.97,2834784551.0,2831644356.0,0.0,-0.26,-0.13,2.0
2516,605199,ST葫芦娃,7.07,1.73,0.12,26640.0,18764521.0,2.01,7.09,6.95,6.95,6.95,0.76,0.67,-189.19,4.1,2828768877.0,2828768877.0,0.28,0.14,-20.38,-7.22
2517,300898,熊猫乳品,25.91,1.73,0.44,24776.0,64008098.04,1.53,25.97,25.58,25.7,25.47,0.86,2.16,33.6,3.28,3212840000.0,2972775792.0,0.0,0.04,-3.54,-3.79
2518,000050,深天马Ａ,9.39,1.73,0.16,274782.0,258611512.28,1.84,9.52,9.35,9.38,9.23,0.66,1.12,55.28,0.84,23078250537.0,23077959682.0,-0.11,0.0,3.07,3.99
2519,003040,楚天龙,17.69,1.73,0.3,58219.0,102614072.31,1.84,17.77,17.45,17.52,17.39,0.72,1.27,-139.15,5.82,8157495345.0,8081681064.0,0.0,-0.11,-2.91,-14.46
2520,301246,宏源药业,20.54,1.73,0.35,59107.0,122190089.12,3.27,20.96,20.3,20.3,20.19,0.88,3.69,-5601.1,1.9,8216139672.0,3287278085.0,-0.15,0.05,17.37,-17.84
2521,600853,龙建股份,4.15,1.72,0.07,125850.0,52065784.0,1.23,4.16,4.11,4.11,4.08,0.61,1.24,10.4,1.04,4208231746.0,4206838591.0,0.0,0.24,-3.26,-4.16
2522,600996,贵广网络,8.27,1.72,0.14,286474.0,238110505.0,4.06,8.51,8.18,8.19,8.13,1.28,2.3,-9.48,4.41,10311034793.0,10311034793.0,0.0,-0.12,-24.68,-17.63
2523,300320,海达股份,11.22,1.72,0.19,108498.0,120525266.0,2.54,11.25,10.97,11.14,11.03,0.73,2.23,30.36,2.73,6745847623.0,5450538555.0,-0.09,-0.18,18.98,20.26
2524,301499,维科精密,34.28,1.72,0.58,38715.0,132178188.76,3.26,34.5,33.4,33.75,33.7,0.84,11.2,89.53,3.65,4739376806.0,1184844219.0,0.06,-0.12,15.15,16.48
2525,603937,丽岛新材,13.01,1.72,0.22,25031.0,32467268.0,1.25,13.05,12.89,12.9,12.79,0.66,1.2,-137.55,1.76,2717645578.0,2717645578.0,-0.08,-0.15,6.12,8.51
2526,920003,中诚咨询,30.2,1.72,0.51,3431.0,10295705.26,1.28,30.2,29.82,29.9,29.69,0.91,2.58,19.29,3.06,1954371437.0,402100497.0,0.07,0.33,-6.96,-8.04
2527,603806,福斯特,17.72,1.72,0.3,395885.0,691816342.0,4.25,17.82,17.08,17.59,17.42,1.08,1.52,50.42,2.91,46226858465.0,46226858465.0,-0.17,-0.11,28.5,26.93
2528,301396,宏景科技,116.26,1.72,1.97,234424.0,2699423240.05,7.85,119.77,110.8,118.34,114.29,1.77,30.81,124.5,13.85,17847950014.0,8845185663.0,0.02,0.2,97.42,75.35
2529,688332,中科蓝讯,129.77,1.72,2.2,10640.0,137878098.0,1.67,130.66,128.53,129.26,127.57,0.64,0.88,11.05,2.96,15650028414.0,15650028414.0,0.05,0.02,-18.14,-1.17
2530,000592,平潭发展,11.82,1.72,0.2,2137099.0,2509342836.44,3.79,11.92,11.48,11.51,11.62,0.53,11.16,548.35,11.9,22833650143.0,22636392747.0,-0.08,-0.08,6.49,-23.25
2531,300506,ST名家汇,5.32,1.72,0.09,79270.0,41897837.65,2.49,5.35,5.22,5.28,5.23,0.79,1.08,-50.13,-217.45,7584173747.0,3908585449.0,0.0,0.0,66.77,26.67
2532,603886,元祖股份,13.02,1.72,0.22,23981.0,31051312.0,1.72,13.04,12.82,12.89,12.8,0.72,1.0,17.88,2.01,3124800000.0,3124800000.0,0.08,0.08,2.36,-6.8
2533,300371,汇中股份,14.27,1.71,0.24,40417.0,57465839.8,2.14,14.36,14.06,14.11,14.03,0.93,3.01,43.37,2.46,2871370814.0,1918036137.0,0.0,-0.14,15.36,13.52
2534,301157,华塑科技,60.01,1.71,1.01,14778.0,88495025.69,2.39,60.43,59.02,59.18,59.0,0.78,7.15,141.84,3.29,3600600000.0,1239809901.0,0.02,-0.12,14.74,15.36
2535,300363,博腾股份,21.43,1.71,0.36,72301.0,154945004.71,1.61,21.59,21.25,21.3,21.07,0.77,1.45,109.3,2.19,11645965832.0,10690492331.0,-0.05,-0.09,-7.35,-7.79
2536,689009,九号公司-WD,47.62,1.71,0.8,60299.0,287298365.0,2.11,48.18,47.19,47.35,46.82,0.75,1.09,19.61,4.79,34412928769.0,26460418341.0,-0.1,0.0,-20.34,-14.34
2537,920779,武汉蓝电,32.04,1.71,0.54,3459.0,11034686.2,1.9,32.1,31.5,31.5,31.5,0.76,1.73,40.86,5.23,2565594029.0,641863792.0,0.0,0.31,-4.76,-5.32
2538,002534,西子洁能,20.28,1.71,0.34,346012.0,700979737.7,4.46,20.54,19.65,20.08,19.94,1.49,4.2,72.02,3.18,16952765390.0,16725762264.0,0.0,0.05,31.95,20.93
2539,002917,金奥博,14.29,1.71,0.24,40161.0,57233654.42,1.57,14.31,14.09,14.1,14.05,0.75,1.54,28.04,2.96,4967406875.0,3722231063.0,-0.07,-0.14,8.5,6.8
2540,300423,昇辉科技,11.3,1.71,0.19,607237.0,690204701.48,5.67,11.64,11.01,11.01,11.11,0.76,18.22,651.78,4.17,5621877577.0,3766973458.0,-0.44,-0.09,47.33,34.84
2541,002349,精华制药,7.72,1.71,0.13,114804.0,87979025.0,1.71,7.73,7.6,7.65,7.59,0.77,1.41,27.24,2.37,6405090290.0,6285476610.0,0.0,0.0,-4.81,6.34
2542,300155,安居宝,5.35,1.71,0.09,82662.0,44179141.69,1.52,5.38,5.3,5.31,5.26,0.76,2.5,-67.89,2.45,3002568430.0,1769388252.0,-0.19,0.0,-7.76,-18.57
2543,300699,光威复材,38.12,1.71,0.64,143999.0,547907962.57,2.69,38.61,37.6,37.68,37.48,0.56,1.75,52.69,5.58,31691138240.0,31313409028.0,0.08,0.05,27.02,-3.4
2544,300735,光弘科技,23.8,1.71,0.4,84626.0,200943716.37,2.01,23.97,23.5,23.74,23.4,0.64,1.12,68.86,3.7,18265564398.0,18026531288.0,-0.04,-0.08,-4.19,-4.26
2545,603278,大业股份,11.89,1.71,0.2,64240.0,76299755.0,1.45,11.94,11.77,11.79,11.69,0.68,1.88,130.38,2.03,4063519171.0,4063519171.0,-0.08,0.0,23.73,-30.22
2546,600665,天地源,3.56,1.71,0.06,93490.0,33016874.0,1.71,3.56,3.5,3.51,3.5,0.81,1.08,-10.51,1.16,3076276175.0,3076276175.0,0.28,0.0,-1.11,8.54
2547,603217,元利科技,24.95,1.71,0.42,19921.0,49443293.0,2.73,25.17,24.5,24.69,24.53,0.5,0.96,25.54,1.55,5191785620.0,5191785620.0,0.0,0.0,-6.2,-2.62
2548,300101,振芯科技,25.08,1.7,0.42,126186.0,316677305.65,2.76,25.5,24.82,24.93,24.66,0.63,2.23,115.14,7.73,14243074956.0,14196368848.0,0.0,0.0,11.96,-11.78
2549,002553,南方精工,26.34,1.7,0.44,69434.0,182237034.77,1.89,26.4,25.91,25.91,25.9,0.87,2.77,19.05,6.26,9308809891.0,6606072000.0,0.0,0.08,1.19,-3.55
2550,688448,磁谷科技,62.97,1.7,1.05,9702.0,61209060.0,3.96,63.99,61.54,61.6,61.92,0.58,2.02,451.89,4.45,4511945331.0,3020815731.0,0.06,-0.06,51.15,29.92
2551,600530,交大昂立,5.99,1.7,0.1,54752.0,32653478.0,2.21,6.01,5.88,5.93,5.89,0.75,0.71,1962.11,14.58,4641770800.0,4641770800.0,0.17,0.17,-16.81,-6.99
2552,001322,箭牌家居,8.95,1.7,0.15,28557.0,25416526.0,1.36,8.95,8.83,8.85,8.8,0.68,0.36,199.46,1.83,8656108492.0,7031234560.0,0.0,0.0,7.44,0.9
2553,002201,九鼎新材,12.53,1.7,0.21,214031.0,268234290.43,2.68,12.7,12.37,12.37,12.32,0.73,3.56,81.08,7.01,8165002100.0,7543353453.0,0.16,0.32,60.64,9.82
