序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,920036,觅睿科技,53.69,30.0,12.39,99099.0,473520704.5,33.15,53.69,40.0,40.0,41.3,0.85,75.87,36.92,6.43,2921907892.0,701259962.0,0.0,0.0,149.49,149.49
2,300629,新劲刚,28.91,20.01,4.82,696402.0,1977452463.59,10.46,28.91,26.39,26.39,24.09,4.5,32.12,485.6,4.27,7268651188.0,6268672010.0,0.0,0.07,55.43,21.57
3,300936,中英科技,58.54,20.01,9.76,86118.0,484635677.56,19.56,58.54,49.0,49.24,48.78,1.39,18.15,-459.4,4.4,4402208000.0,2778324499.0,0.0,0.0,56.36,50.1
4,688048,长光华芯,188.4,20.0,31.4,190392.0,3317289532.0,17.45,188.4,161.0,163.86,157.0,1.19,10.8,1701.16,11.05,33211141261.0,33211141261.0,0.0,0.0,75.5,50.3
5,688300,联瑞新材,99.96,20.0,16.66,186276.0,1813257393.0,14.35,99.96,88.01,88.01,83.3,1.86,7.71,82.48,14.16,24137260232.0,24137260232.0,0.0,0.0,76.45,60.99
6,688655,迅捷兴,29.4,20.0,4.9,119654.0,327806692.0,19.18,29.4,24.7,24.8,24.5,0.93,8.97,-183.48,5.96,3921666000.0,3921666000.0,0.0,0.0,59.44,71.63
7,300257,开山股份,34.33,19.99,5.72,400910.0,1330547753.72,17.23,34.33,29.4,29.4,28.61,2.14,4.2,84.14,5.16,34111490168.0,32774514566.0,0.0,0.0,137.09,144.34
8,300811,铂科新材,92.0,17.23,13.52,252492.0,2233780185.44,15.8,93.4,81.0,81.56,78.48,2.35,10.63,68.11,9.2,26661626128.0,21861820344.0,0.09,-0.05,31.18,29.01
9,920045,蘅东光,385.0,17.04,56.05,25089.0,900779460.1,14.8,385.7,337.0,337.88,328.95,1.78,12.47,86.83,24.34,26207545980.0,7749100975.0,0.0,0.26,1118.74,24.6
10,688229,博睿数据,120.06,16.4,16.92,75987.0,902922755.0,13.46,123.77,109.89,109.89,103.14,3.67,17.11,-56.64,14.41,5330664000.0,5330664000.0,-0.13,0.05,103.7,91.54
11,300469,信息发展,71.79,16.33,10.08,180045.0,1231830054.62,15.88,72.5,62.7,63.5,61.71,2.88,7.25,-171.24,46.77,17821065175.0,17820615052.0,0.01,-0.03,16.32,16.17
12,688662,富信科技,71.78,15.49,9.63,98428.0,687822859.0,15.61,73.0,63.3,64.46,62.15,1.17,11.15,158.8,8.67,6333867200.0,6333867200.0,0.14,0.24,79.45,40.06
13,301176,逸豪新材,28.97,15.01,3.78,147047.0,413917385.49,17.11,29.73,25.42,25.42,25.19,2.96,26.09,-189.75,3.23,4897861343.0,1632620457.0,0.07,0.21,13.16,15.1
14,688585,上纬新材,136.0,14.97,17.71,91817.0,1178170016.0,16.99,138.9,118.8,118.8,118.29,2.14,2.28,1339.61,40.84,54857195008.0,54857195008.0,0.0,0.73,29.52,6.78
15,688807,优迅股份,259.13,14.17,32.17,43835.0,1091868011.0,16.2,267.77,231.0,231.0,226.96,1.62,29.15,235.24,11.74,20730400000.0,3896189539.0,-0.25,-0.34,401.61,38.35
16,688535,华海诚科,133.99,14.03,16.49,72665.0,928527096.0,12.28,134.55,120.12,121.53,117.5,2.24,13.85,530.47,5.9,12864959139.0,7028518877.0,-0.01,0.13,32.94,19.55
17,688205,德科立,181.0,13.89,22.07,156652.0,2783568462.0,10.07,183.0,167.0,167.0,158.93,1.45,9.9,391.56,12.35,28649644549.0,28649644549.0,-0.02,-0.22,54.6,31.66
18,688498,源杰科技,917.86,13.84,111.56,43550.0,3824191512.0,12.25,921.77,823.0,830.0,806.3,1.24,5.13,413.19,33.82,78887979786.0,77869957396.0,0.2,0.31,58.59,42.97
19,301216,万凯新材,24.7,13.72,2.98,421110.0,1012251873.79,10.31,24.83,22.59,22.59,21.72,3.3,7.68,138.52,2.37,14330659408.0,13543559748.0,-0.36,-0.36,36.46,46.5
20,688158,优刻得-W,51.59,13.68,6.21,1493729.0,7624910204.0,10.58,53.4,48.6,51.89,45.38,3.2,36.84,-306.99,9.75,23540779129.0,20918398914.0,-0.17,-0.15,117.13,83.66
21,688127,蓝特光学,64.93,13.65,7.8,178423.0,1110876884.0,13.95,65.5,57.53,57.97,57.13,1.39,4.4,67.87,12.05,26354937661.0,26354937661.0,0.0,-0.18,98.56,68.69
22,688167,炬光科技,341.5,13.64,40.99,80797.0,2689486210.0,7.82,344.5,321.0,321.0,300.51,1.24,8.99,-736.93,13.79,30687027446.0,30687027446.0,-0.04,-0.08,163.58,95.06
23,301607,富特科技,52.4,13.37,6.18,97817.0,507244162.66,14.08,53.39,46.88,46.89,46.22,2.29,8.75,44.6,7.15,8144028908.0,5860700951.0,0.04,0.11,26.72,30.64
24,300661,圣邦股份,73.1,13.32,8.59,513117.0,3640307795.45,11.63,73.5,66.0,66.25,64.51,3.3,8.66,98.72,9.21,45179184896.0,43330026974.0,0.1,0.03,11.67,6.5
25,300903,科翔股份,40.97,13.18,4.77,573471.0,2218086321.99,15.39,41.27,35.7,36.9,36.2,1.27,17.46,-111.76,9.85,17837787486.0,13454349787.0,-0.49,-0.44,115.29,112.39
26,688308,欧科亿,95.31,12.13,10.31,99791.0,904126999.0,12.18,95.97,85.62,85.8,85.0,0.91,6.28,145.76,5.71,15133484589.0,15133484589.0,0.29,0.26,221.23,201.23
27,301191,菲菱科思,119.35,11.9,12.69,50668.0,589852967.69,12.75,121.6,108.0,108.26,106.66,1.91,9.71,132.92,4.98,8275967700.0,6229877011.0,-0.21,-0.13,7.66,11.0
28,301369,联动科技,145.69,11.77,15.34,20325.0,287565968.72,11.09,146.42,131.97,131.97,130.35,2.53,5.59,533.39,6.85,10282129735.0,5297783455.0,-0.01,-0.08,36.4,8.81
29,300499,高澜股份,41.79,11.74,4.39,742310.0,3002672311.76,11.15,42.17,38.0,38.28,37.4,1.44,27.35,279.46,9.21,12756337490.0,11341957948.0,-0.5,-0.43,62.29,36.21
30,688556,高测股份,16.95,11.66,1.77,650530.0,1049379553.0,13.5,17.16,15.11,15.44,15.18,1.35,7.83,-350.6,3.57,14081618181.0,14081618181.0,-0.06,-0.18,55.5,48.42
31,300561,*ST汇科,12.3,11.51,1.27,184334.0,218256531.5,13.51,12.61,11.12,11.17,11.03,2.6,7.65,1992.54,6.73,4035728093.0,2965008160.0,0.08,0.33,-8.75,-16.38
32,301373,凌玮科技,76.2,11.39,7.79,133100.0,1008045627.34,8.33,78.57,72.87,72.87,68.41,0.94,34.6,60.07,5.01,8265573334.0,2931621493.0,0.07,-0.29,150.25,137.38
33,301282,金禄电子,34.2,11.36,3.49,212633.0,716097214.84,14.23,35.38,31.01,31.01,30.71,3.17,18.08,63.08,3.02,5168986906.0,4021309735.0,0.03,0.09,36.42,17.69
34,301611,珂玛科技,122.8,11.24,12.41,126925.0,1516088326.44,9.95,124.0,113.02,115.0,110.39,1.6,8.66,164.22,31.0,53540800000.0,18000354086.0,-0.08,-0.18,131.17,43.24
35,301535,浙江华远,30.02,11.23,3.03,102946.0,301447257.42,12.15,30.65,27.37,27.37,26.99,2.59,16.14,121.28,11.08,12767329422.0,1915099422.0,0.07,-0.07,62.01,37.71
36,300736,百邦科技,22.11,11.22,2.23,116637.0,248189941.52,12.37,22.18,19.72,20.16,19.88,1.3,9.32,-123.4,34.31,2828627904.0,2765656700.0,-0.14,-0.14,6.25,42.55
37,300964,本川智能,65.56,11.18,6.59,77569.0,499156976.07,10.97,66.6,60.13,60.13,58.97,2.42,13.87,114.91,4.94,5067675499.0,3666891037.0,0.12,0.09,25.98,17.91
38,688726,拉普拉斯,68.8,11.15,6.9,275144.0,1811987960.0,15.48,70.88,61.3,63.0,61.9,1.67,12.51,45.56,6.86,27886441803.0,15130803811.0,-0.12,-0.09,71.36,91.11
39,300285,国瓷材料,38.24,11.07,3.81,701786.0,2620670972.52,10.54,38.43,34.8,34.85,34.43,1.41,8.34,58.42,5.44,38127126954.0,32173026949.0,0.03,-0.03,75.09,39.51
40,688648,中邮科技,67.07,11.04,6.67,76466.0,500030291.0,11.59,67.85,60.85,61.17,60.4,3.34,11.0,14.49,4.17,9121520000.0,4663304933.0,0.03,0.1,28.29,9.13
41,301045,天禄科技,52.62,10.99,5.21,88481.0,458501248.65,10.46,53.49,48.53,48.72,47.41,1.38,13.83,172.28,5.66,5804951998.0,3365469118.0,0.06,0.06,95.11,98.34
42,300394,天孚通信,340.48,10.92,33.52,380508.0,12745689256.98,5.5,341.88,325.01,329.0,306.96,1.07,4.9,135.48,54.26,264694562568.0,264162220385.0,0.0,0.09,81.96,67.7
43,688223,晶科能源,8.24,10.75,0.8,4223076.0,3314692379.0,17.47,8.56,7.26,7.44,7.44,2.05,4.22,-12.15,3.23,82442881034.0,82442881034.0,-0.24,-0.36,54.31,46.1
44,301577,美信科技,72.45,10.56,6.92,50495.0,358079330.62,14.07,75.0,65.78,66.6,65.53,1.31,26.8,214.86,4.28,3262387275.0,1365041680.0,0.15,0.11,27.85,28.32
45,300969,恒帅股份,140.23,10.42,13.23,35892.0,487380015.03,9.66,141.06,128.79,130.0,127.0,1.65,7.14,91.27,11.37,15706123897.0,7048284853.0,-0.04,-0.04,52.42,13.36
46,688692,达梦数据,254.8,10.31,23.82,28456.0,699282235.0,9.0,255.59,234.8,235.0,230.98,2.56,3.89,55.82,7.8,28853552000.0,18635218420.0,-0.03,0.0,1.13,-2.48
47,300328,宜安科技,19.92,10.3,1.86,1080582.0,2164588905.56,11.18,20.82,18.8,18.8,18.06,2.73,15.74,30076.45,12.56,13753238112.0,13672425162.0,-0.3,-0.1,24.89,16.7
48,688331,荣昌生物,118.35,10.27,11.02,111129.0,1275823078.0,9.66,118.68,108.31,108.31,107.33,1.5,6.81,94.29,17.61,66805910113.0,19302069805.0,0.05,-0.17,24.1,52.14
49,300953,震裕科技,171.56,10.26,15.96,92173.0,1512159816.66,10.78,171.77,155.0,158.0,155.6,2.01,7.4,54.19,6.96,29761839530.0,21369199302.0,0.0,0.01,15.84,2.11
50,688506,百利天恒,281.0,10.17,25.94,26809.0,732724842.0,11.74,285.0,255.06,258.0,255.06,1.57,0.67,-110.42,17.52,116017542577.0,112681000000.0,0.04,-0.18,-23.02,-13.03
51,002445,中南文化,3.37,10.13,0.31,44540.0,15010091.21,0.0,3.37,3.37,3.37,3.06,0.04,0.19,73.05,3.54,8009167379.0,7974703879.0,0.0,0.0,34.8,29.62
52,301387,光大同创,64.83,10.07,5.93,48991.0,311189052.32,11.05,65.41,58.9,59.49,58.9,2.12,11.48,184.29,4.2,6920421235.0,2767224725.0,0.25,0.0,56.03,17.02
53,688693,锴威特,47.06,10.06,4.3,56115.0,262584105.0,17.82,50.72,43.1,43.1,42.76,2.96,14.42,-38.0,4.33,3467578970.0,1830841723.0,-0.08,-0.15,21.73,25.69
54,600135,乐凯胶片,11.06,10.05,1.01,636772.0,678132291.0,9.15,11.06,10.14,10.4,10.05,4.67,11.51,-53.13,2.57,6119576515.0,6119576515.0,0.0,0.0,40.71,7.17
55,600172,黄河旋风,10.08,10.04,0.92,2104014.0,2077826230.0,9.83,10.08,9.18,9.4,9.16,1.0,16.49,-20.86,14.72,14537219518.0,12864657960.0,0.0,0.0,53.19,76.53
56,603017,中衡设计,13.48,10.04,1.23,134769.0,177966284.0,8.9,13.48,12.39,12.5,12.25,1.1,4.88,49.62,2.51,3723045150.0,3723045150.0,0.0,0.0,19.29,21.66
57,603421,鼎信通讯,9.21,10.04,0.84,229795.0,207412812.0,9.8,9.21,8.39,8.41,8.37,0.95,3.52,-13.4,2.14,6006674606.0,6006674606.0,0.0,0.0,17.32,28.63
58,000839,国安股份,3.62,10.03,0.33,1681574.0,602956008.41,8.81,3.62,3.33,3.34,3.29,1.35,4.29,1260.17,9.25,14189771394.0,14189771394.0,0.0,0.0,33.58,37.12
59,600330,天通股份,17.22,10.03,1.57,1314157.0,2210768731.0,8.31,17.22,15.92,16.12,15.65,0.83,10.65,277.92,2.65,21239740644.0,21239740644.0,0.0,0.0,79.38,31.15
60,002298,中电鑫龙,12.41,10.02,1.13,1092576.0,1293430700.71,10.46,12.41,11.23,11.4,11.28,2.42,16.54,252.68,4.03,9184776281.0,8198710084.0,0.0,0.0,19.33,18.87
61,002969,嘉美包装,25.91,10.02,2.36,483520.0,1230478747.45,7.26,25.91,24.2,24.5,23.55,0.58,4.43,545.11,10.74,28462023846.0,28301207005.0,0.0,0.0,559.29,104.66
62,605318,法狮龙,76.84,10.01,6.99,29828.0,221234067.0,9.48,76.84,70.22,70.7,69.85,1.47,2.37,-5029.08,14.95,9661018512.0,9661018512.0,0.0,0.0,48.89,17.91
63,002335,科华数据,69.48,10.01,6.32,784316.0,5177222306.62,10.75,69.48,62.69,64.6,63.16,2.52,17.25,77.96,5.66,35810967569.0,31590655305.0,0.0,0.0,28.95,25.12
64,600345,长江通信,43.76,10.01,3.98,203909.0,853815179.0,9.05,43.76,40.16,40.25,39.78,1.15,9.64,650.27,4.1,14423826896.0,9257834837.0,0.0,0.0,56.79,26.26
65,605287,德才股份,51.54,10.01,4.69,42661.0,212387515.0,9.5,51.54,47.09,47.17,46.85,0.41,3.05,110.29,4.65,7215600000.0,7215600000.0,0.0,0.0,110.71,98.84
66,603803,瑞斯康达,11.0,10.0,1.0,108682.0,119550145.0,0.0,11.0,11.0,11.0,10.0,1.08,2.56,-74.45,2.98,4673719127.0,4673719127.0,0.0,0.0,1.1,-0.81
67,603269,海鸥股份,17.93,10.0,1.63,386869.0,668308532.0,9.2,17.93,16.43,16.63,16.3,0.98,12.53,81.05,5.81,5535919200.0,5535919200.0,0.0,0.0,50.04,36.97
68,000949,新乡化纤,7.59,10.0,0.69,1065101.0,791271548.25,11.16,7.59,6.82,6.9,6.9,1.18,6.43,70.8,1.95,12575870408.0,12572416966.0,0.0,0.0,63.58,38.0
69,002294,信立泰,54.01,10.0,4.91,122475.0,647075390.57,8.88,54.01,49.65,49.74,49.1,1.68,1.1,77.76,6.86,60211241055.0,60197695401.0,0.0,0.0,-12.62,9.0
70,002281,光迅科技,86.16,10.0,7.83,554095.0,4557438467.09,9.15,86.16,78.99,78.99,78.33,0.83,7.11,72.5,7.11,69503182792.0,67159769251.0,0.0,0.0,41.87,23.17
71,002903,宇环数控,30.37,10.0,2.76,184110.0,540701961.72,8.0,30.37,28.16,29.44,27.61,1.37,17.26,1166.05,5.9,4758918260.0,3238752435.0,0.0,0.0,32.04,32.04
72,003021,兆威机电,124.38,10.0,11.31,103120.0,1250558007.12,8.3,124.38,114.99,115.01,113.07,1.91,4.97,137.68,8.79,33269498226.0,25791783820.0,0.0,0.0,16.46,0.16
73,002632,道明光学,13.64,10.0,1.24,271107.0,366112732.32,7.66,13.64,12.69,12.69,12.4,1.25,4.66,35.59,3.97,8519531588.0,7936925190.0,0.0,0.0,-8.46,9.56
74,000537,绿发电力,10.34,10.0,0.94,282053.0,291642843.36,0.0,10.34,10.34,10.34,9.4,0.75,1.36,19.9,1.07,21368668320.0,21368668320.0,0.0,0.0,22.66,25.94
75,002467,二六三,7.59,10.0,0.69,3449751.0,2585111888.6,8.41,7.59,7.01,7.02,6.9,2.95,25.24,103.25,5.34,10439072516.0,10374649234.0,0.0,0.0,26.29,24.63
76,002384,东山精密,108.06,10.0,9.82,913332.0,9599793692.66,6.98,108.06,101.2,102.0,98.24,1.02,6.59,121.35,9.29,197923509908.0,149805925387.0,0.0,0.0,55.93,27.66
77,001400,江顺科技,146.04,10.0,13.28,21659.0,304150592.79,11.98,146.04,130.13,134.3,132.76,0.86,14.44,100.41,7.12,8762400000.0,2190600000.0,0.0,0.0,133.44,87.81
78,002290,禾盛新材,67.21,10.0,6.11,80677.0,530372155.41,9.62,67.21,61.33,61.33,61.1,1.65,3.26,86.8,17.58,16675629699.0,16627112481.0,0.0,0.0,55.83,47.07
79,600498,烽火通信,57.2,10.0,5.2,1440117.0,8010268053.0,8.63,57.2,52.71,53.0,52.0,0.9,11.33,113.65,4.88,77687179970.0,72736747283.0,0.0,0.0,153.88,78.3
80,601869,长飞光纤,233.1,10.0,21.19,170543.0,3800169466.0,8.9,233.1,214.25,217.25,211.91,1.15,4.2,308.17,14.94,192984680675.0,94717460993.0,0.0,0.0,182.07,100.33
81,601778,晶科科技,5.61,10.0,0.51,5269752.0,2825091750.0,12.75,5.61,4.96,5.06,5.1,1.92,14.76,42.24,1.27,20033313585.0,20033313585.0,0.0,0.0,70.52,50.81
82,001389,广合科技,120.23,10.0,10.93,75082.0,885524095.14,8.17,120.23,111.3,111.96,109.3,0.86,4.97,53.03,14.07,51180408125.0,18173721170.0,0.0,0.0,71.78,47.29
83,001332,锡装股份,65.55,10.0,5.96,45120.0,286895128.96,10.99,65.55,59.0,59.0,59.59,1.44,9.4,27.21,2.83,7242619500.0,3146629491.0,0.0,0.0,29.83,16.66
84,603115,海星股份,32.0,10.0,2.91,89656.0,277152067.0,9.9,32.0,29.12,29.66,29.09,0.61,3.71,39.46,3.75,7740492800.0,7740492800.0,0.0,0.0,79.07,71.03
85,002536,飞龙股份,38.09,9.99,3.46,375530.0,1405351504.96,7.48,38.09,35.5,35.62,34.63,0.53,6.9,57.27,6.33,21893594474.0,20736851148.0,0.0,0.0,77.91,28.25
86,000014,沙河股份,14.31,9.99,1.3,136066.0,188622029.57,9.3,14.31,13.1,13.15,13.01,1.92,5.62,-80.62,2.18,3463681465.0,3463681465.0,0.0,0.0,-1.51,6.39
87,603949,雪龙集团,19.49,9.99,1.77,73354.0,139787307.0,9.42,19.49,17.82,17.82,17.72,2.33,3.49,50.47,3.89,4107258400.0,4096900790.0,0.0,0.0,6.85,3.84
88,001267,汇绿生态,45.68,9.99,4.15,451783.0,2019820159.72,6.41,45.68,43.02,43.8,41.53,0.54,7.45,520.12,22.64,35866322491.0,27689356276.0,0.0,0.0,151.54,108.58
89,002025,航天电器,56.03,9.99,5.09,281213.0,1563933766.91,7.89,56.03,52.01,52.01,50.94,1.8,6.2,131.04,3.92,25517518108.0,25430711501.0,0.0,0.0,28.24,11.77
90,600769,祥龙电业,13.65,9.99,1.24,222098.0,296473631.0,9.51,13.65,12.47,12.49,12.41,3.24,5.92,223.06,42.59,5118438780.0,5118438780.0,0.0,0.0,8.51,13.37
91,002993,奥海科技,50.08,9.99,4.55,85877.0,416290151.0,8.74,50.08,46.1,46.41,45.53,1.56,3.6,28.91,2.79,13824083200.0,11941422405.0,0.0,0.0,17.67,14.57
92,002760,凤形股份,25.23,9.98,2.29,52711.0,129342542.8,8.81,25.23,23.21,23.21,22.94,0.91,4.88,119.58,3.29,2724555052.0,2724555052.0,0.0,0.0,12.73,16.21
93,002729,好利科技,19.18,9.98,1.74,114704.0,212883699.18,9.98,19.18,17.44,17.44,17.44,1.5,6.54,67.5,6.33,3509363066.0,3365393977.0,0.0,0.0,15.13,19.8
94,605268,王力安防,16.86,9.98,1.53,43424.0,73212915.0,0.0,16.86,16.86,16.86,15.33,0.72,0.99,47.47,4.48,7524660150.0,7426703550.0,0.0,0.0,59.36,58.01
95,002636,金安国纪,27.87,9.98,2.53,161749.0,439376464.61,7.38,27.87,26.0,26.13,25.34,0.47,2.23,87.99,5.82,20289360000.0,20186670672.0,0.0,0.0,78.65,66.79
96,002575,群兴玩具,8.82,9.98,0.8,1698664.0,1426671277.1,10.35,8.82,7.99,8.2,8.02,3.03,29.01,-190.97,6.56,5437530000.0,5164070310.0,0.0,0.0,17.44,42.72
97,002350,北京科锐,15.22,9.97,1.38,699809.0,1002740875.41,12.72,15.22,13.46,13.68,13.84,0.8,13.19,213.55,5.0,8254283162.0,8074993389.0,0.0,0.0,84.26,86.98
98,600376,首开股份,5.53,9.94,0.5,1355720.0,733542548.0,7.75,5.53,5.14,5.15,5.03,3.34,5.26,-3.45,2.19,14264995788.0,14264995788.0,0.0,0.0,-6.59,-16.34
99,600108,亚盛集团,5.97,9.94,0.54,4480125.0,2570785548.0,14.18,5.97,5.2,5.21,5.43,0.96,23.01,247.31,2.69,11623083272.0,11623083272.0,0.0,0.0,92.58,89.52
100,601789,宁波建工,6.64,9.93,0.6,235969.0,156683283.0,0.0,6.64,6.64,6.64,6.04,0.47,2.17,41.62,1.59,10121962063.0,7216342638.0,0.0,0.0,28.93,33.07
101,600726,华电能源,3.21,9.93,0.29,1618917.0,504528475.0,9.93,3.21,2.92,2.93,2.92,1.71,2.17,71.25,6.17,25382549234.0,23995829228.0,0.0,0.0,27.89,34.31
102,300878,维康药业,30.9,9.89,2.78,62344.0,190110312.16,12.09,31.7,28.3,28.61,28.12,3.53,4.33,-27.09,4.41,4474020950.0,4453430333.0,-0.06,0.06,25.87,21.13
103,688292,浩瀚深度,29.58,9.76,2.63,140636.0,412607692.0,8.94,30.45,28.04,28.08,26.95,2.94,8.88,-1322.14,4.53,4683956557.0,4683956557.0,-0.07,-0.07,31.06,2.0
104,688759,必贝特-U,43.2,9.67,3.81,46327.0,195376762.0,10.94,43.73,39.42,39.42,39.39,1.48,9.97,-127.0,11.64,19441583582.0,2007157579.0,-0.12,0.42,33.83,48.66
105,688143,长盈通,60.57,9.63,5.32,112049.0,659035581.0,8.71,60.9,56.09,56.3,55.25,1.21,9.16,335.66,5.79,7800253177.0,7412218983.0,0.0,0.03,65.67,20.63
106,301317,鑫磊股份,64.82,9.49,5.62,139711.0,878620717.63,12.92,66.88,59.23,61.58,59.2,1.44,26.77,20.14,7.57,10189055800.0,3383392233.0,-0.2,0.22,106.83,101.05
107,301010,晶雪节能,23.15,9.46,2.0,76498.0,175846118.62,12.96,24.07,21.33,21.33,21.15,3.7,7.08,184.51,3.02,2500200000.0,2500200000.0,0.0,0.26,-9.99,4.51
108,600487,亨通光电,49.99,9.34,4.27,1536678.0,7447926525.0,7.61,50.2,46.72,46.72,45.72,0.98,6.28,38.93,4.01,123312065503.0,122234604439.0,0.0,0.18,152.22,102.14
109,300835,龙磁科技,96.4,9.26,8.17,62557.0,591015054.9,8.93,96.88,89.0,89.97,88.23,1.1,7.6,64.67,9.63,11495462856.0,7932151186.0,0.21,0.06,62.13,47.0
110,688551,科威尔,46.61,9.21,3.93,72061.0,340136003.0,10.07,49.8,45.5,45.5,42.68,1.42,8.57,60.38,2.94,3918535746.0,3918535746.0,-0.02,0.02,27.04,26.9
111,300843,胜蓝股份,58.9,9.13,4.93,131033.0,752445742.17,10.38,59.88,54.28,54.5,53.97,1.69,8.34,70.31,6.09,9642216431.0,9252613899.0,-0.03,-0.14,30.54,14.24
112,688195,腾景科技,228.0,9.04,18.9,98491.0,2213075611.0,7.88,232.73,216.25,219.0,209.1,1.21,7.61,417.77,29.84,29491800000.0,29491800000.0,0.0,-0.1,43.04,34.47
113,688488,艾迪药业,17.67,8.94,1.45,134847.0,233125667.0,9.06,17.8,16.33,16.36,16.22,1.5,3.2,-376.78,7.72,7435232217.0,7435232217.0,-0.06,-0.11,35.4,8.21
114,688733,壹石通,31.95,8.9,2.61,110095.0,349387554.0,9.2,32.6,29.9,30.1,29.34,2.11,5.51,-288.52,3.03,6382817321.0,6382817321.0,0.06,0.03,6.93,10.25
115,688513,苑东生物,62.28,8.86,5.07,33224.0,204810725.0,10.21,63.16,57.32,57.92,57.21,1.59,1.88,38.82,3.75,10994428904.0,10994428904.0,0.26,0.16,14.68,1.19
116,688372,伟测科技,153.54,8.75,12.36,111223.0,1706193810.0,10.06,158.2,144.0,146.0,141.18,1.06,7.46,76.27,7.7,22885727054.0,22885727054.0,-0.03,0.25,63.34,40.75
117,300683,海特生物,37.08,8.74,2.98,158484.0,587053720.58,13.49,38.96,34.36,34.5,34.1,2.83,12.98,-23.03,2.17,4853564018.0,4526156888.0,-0.13,0.08,26.9,33.72
118,301446,福事特,46.55,8.74,3.74,27141.0,123911931.5,10.49,47.69,43.2,43.22,42.81,2.27,8.54,54.61,4.1,4841200000.0,1478986600.0,0.11,0.13,64.14,45.65
119,688309,恒誉环保,56.51,8.71,4.53,41485.0,226229823.0,10.91,56.77,51.1,51.98,51.98,1.06,5.22,124.87,5.81,4486965711.0,4486965711.0,0.37,0.41,145.06,134.19
120,688512,慧智微-U,12.7,8.64,1.01,225623.0,282828792.0,10.44,13.0,11.78,11.87,11.69,2.0,6.95,-26.16,3.61,5928913060.0,4122042759.0,-0.08,0.47,15.77,13.8
121,603124,江南新材,107.0,8.63,8.5,22703.0,236532137.0,9.72,107.8,98.23,100.0,98.5,0.91,7.77,70.78,8.68,15594736293.0,3127147225.0,-0.01,-0.43,49.34,35.67
122,301580,爱迪特,86.03,8.62,6.83,74661.0,633978351.04,7.87,86.6,80.37,80.5,79.2,0.94,10.37,48.58,4.4,9167747118.0,6195621822.0,0.36,0.29,98.45,94.64
123,002970,锐明技术,81.6,8.48,6.38,95555.0,773587400.0,7.63,82.74,77.0,77.11,75.22,1.47,7.75,40.34,7.66,14740003680.0,10062117053.0,0.29,0.22,69.33,68.25
124,300548,长芯博创,153.78,8.48,12.02,262122.0,3907754583.67,6.81,153.96,144.31,144.54,141.76,1.15,9.73,134.53,23.92,44837846509.0,41409705859.0,-0.05,0.14,25.27,8.3
125,301128,强瑞技术,111.06,8.46,8.66,76845.0,840983065.73,8.29,112.5,104.01,104.01,102.4,2.2,8.71,74.33,12.91,11488187446.0,9798974397.0,-0.01,-0.02,34.62,10.06
126,301391,卡莱特,88.49,8.34,6.81,35816.0,313924659.22,11.29,91.8,82.58,82.58,81.68,2.04,3.86,471.13,4.05,8407860625.0,8215024014.0,0.1,0.22,8.52,4.29
127,688388,嘉元科技,45.45,8.32,3.49,302921.0,1338393832.0,7.39,45.6,42.5,43.0,41.96,1.04,7.0,332.64,2.79,19667204901.0,19667204901.0,0.11,0.04,23.71,10.91
128,002491,通鼎互联,11.9,8.28,0.91,2295368.0,2655890665.29,9.92,12.09,11.0,11.15,10.99,0.96,19.51,-167.68,5.9,14636934550.0,13999979565.0,0.0,-0.25,117.15,98.33
129,603290,斯达半导,107.46,8.24,8.18,128818.0,1374208062.0,8.59,109.21,100.68,100.87,99.28,2.69,5.38,50.55,3.72,25733818656.0,25733818656.0,0.0,-0.11,8.33,11.83
130,300545,联得装备,36.48,8.22,2.77,239379.0,872890890.92,10.38,38.5,35.0,35.21,33.71,2.07,20.02,52.52,3.17,6765630996.0,4361509949.0,-0.44,-0.05,11.02,18.87
131,688059,华锐精密,139.08,8.21,10.55,38867.0,530659065.0,8.96,140.0,128.49,130.0,128.53,1.15,4.15,74.46,8.06,13906159693.0,13014906959.0,-0.05,-0.19,77.06,78.08
132,688651,盛邦安全,48.98,8.2,3.71,35985.0,173633512.0,9.1,49.58,45.46,45.46,45.27,2.12,11.09,-84.43,3.93,3693043020.0,1589617785.0,-0.14,-0.2,25.27,11.27
133,002653,海思科,49.5,8.2,3.75,62788.0,305296699.78,8.46,49.89,46.02,46.9,45.75,1.11,1.3,140.8,13.11,55435939515.0,23920288821.0,-0.08,-0.02,-18.07,-3.55
134,301251,威尔高,67.05,8.11,5.03,86616.0,573453444.55,7.51,67.73,63.07,63.54,62.02,1.25,16.04,97.05,5.75,9030872843.0,3620238227.0,0.01,0.07,29.49,28.25
135,301071,力量钻石,50.57,8.1,3.79,217582.0,1094657156.51,10.37,51.86,47.01,47.05,46.78,1.32,11.18,213.33,2.49,13161970868.0,9840627025.0,0.06,0.14,34.24,41.1
136,688335,复洁科技,40.56,8.04,3.02,64292.0,261350742.0,9.96,42.24,38.5,38.5,37.54,2.28,4.34,543.67,5.17,6004283052.0,6004283052.0,0.05,0.15,105.78,50.45
